Year	TaxonKey	ID	IPrice_Mean	IPrice_CI	IPrice_N	IPrice_pval	MatchCode
2011	1e+05	2011:1e+05	2408.72721899208	578.589314097953	16	0.000832747857924932	TaxonKey:Match
2011	100011	2011:100011	5.66790079235554	0.0513117175306994	4	0	TaxonKey:Match
2011	100011	2011:100011	0.304589973405026	0.00632732002319933	4	0	TaxonKey:Match
2011	100031	2011:100031	7750.39839046927	1468.14845937346	11	0.000358142090794263	TaxonKey:Match
2011	100035	2011:100035	1581.5700534359	516.291611459834	5	0.0375364195774915	TaxonKey:Match
2011	100036	2011:100036	3260.01259908648	1144.7635397937	8	0.0247677313713981	TaxonKey:Match
2011	100039	2011:100039	2137.85090747024	375.088378492249	27	5.3618643280656e-06	TaxonKey:Match
2011	200538	2011:200538	2400.93475871271	500.752685382684	11	0.000729471678669194	TaxonKey:Match
2011	300044	2011:300044	3259.80923587445	637.254928463241	18	8.6134910106594e-05	TaxonKey:Match
2011	400122	2011:400122	5.66790079235554	0.0513117175306994	4	0	TaxonKey:Match
2011	400122	2011:400122	0.304589973405026	0.00632732002319933	4	0	TaxonKey:Match
2011	400330	2011:400330	5.66790079235554	0.0513117175306994	6	0	TaxonKey:Match
2011	400330	2011:400330	0.304589973405026	0.00632732002319933	6	0	TaxonKey:Match
2011	400405	2011:400405	5.66790079235554	0.0513117175306994	6	0	TaxonKey:Match
2011	400405	2011:400405	0.304589973405026	0.00632732002319933	6	0	TaxonKey:Match
2011	500108	2011:500108	2969.05228643713	500.770689028145	8	0.000582238641720733	TaxonKey:Match
2011	500124	2011:500124	5.66790079235554	0.0513117175306994	6	0	TaxonKey:Match
2011	500124	2011:500124	0.304589973405026	0.00632732002319933	6	0	TaxonKey:Match
2011	500661	2011:500661	5.66790079235554	0.0513117175306994	6	0	TaxonKey:Match
2011	500661	2011:500661	0.304589973405026	0.00632732002319933	6	0	TaxonKey:Match
2011	501940	2011:501940	1303.22959206683	254.275571383559	8	0.00136077600648717	GenTGN:Match
2011	502724	2011:502724	5.66790079235554	0.0513117175306994	11	0	TaxonKey:Match
2011	502724	2011:502724	0.304589973405026	0.00632732002319933	11	0	TaxonKey:Match
2011	505897	2011:505897	1797.48629875101	561.823460421791	6	0.0240118275528214	TaxonKey:Match
2011	600024	2011:600024	511.020427587614	66.773903156319	10	3.14893679545546e-05	TaxonKey:Match
2011	600026	2011:600026	3605.87746897343	819.574345831818	7	0.00456987510322857	TaxonKey:Match
2011	600047	2011:600047	2101.73158340657	568.912220761643	14	0.00269922922372613	TaxonKey:Match
2011	600076	2011:600076	5.66790079235554	0.0513117175306994	5	0	TaxonKey:Match
2011	600076	2011:600076	0.304589973405026	0.00632732002319933	5	0	TaxonKey:Match
2011	600118	2011:600118	1727.61779435053	311.036336508397	13	0.000124894623111715	TaxonKey:Match
2011	600238	2011:600238	6786.00810130141	957.702229765619	10	5.75609965315583e-05	TaxonKey:Match
2011	600312	2011:600312	5.66790079235554	0.0513117175306994	6	0	Gen:Match
2011	600312	2011:600312	0.304589973405026	0.00632732002319933	6	0	Gen:Match
2011	600360	2011:600360	7094.81133581168	980.568559411685	10	4.89256278633245e-05	TaxonKey:Match
2011	600371	2011:600371	1747.48360982712	368.201782861104	16	0.000260060612310445	Gen:Match
2011	600385	2011:600385	2421.55694167081	304.143128175447	29	1.13563991877627e-08	FamTGN:Match
2011	600521	2011:600521	1268.12262173288	297.116619200558	10	0.0020861424117225	GenTGN:Match
2011	601047	2011:601047	1183.56928417466	215.513201189911	10	0.000384211133025103	Gen:Match
2011	601198	2011:601198	5.66790079235554	0.0513117175306994	4	0	FamTGN:Match
2011	601198	2011:601198	0.304589973405026	0.00632732002319933	4	0	FamTGN:Match
2011	601334	2011:601334	5.66790079235554	0.0513117175306994	5	0	TaxonKey:Match
2011	601334	2011:601334	0.304589973405026	0.00632732002319933	5	0	TaxonKey:Match
2011	601356	2011:601356	11355.4721839489	4245.81771566916	7	0.0368046461289336	TaxonKey:Match
2011	601357	2011:601357	5.66790079235554	0.0513117175306994	8	0	TaxonKey:Match
2011	601357	2011:601357	0.304589973405026	0.00632732002319933	8	0	TaxonKey:Match
2011	602951	2011:602951	581.725354800321	165.04102069864	7	0.0124469281507717	FamTGN:Match
2011	690269	2011:690269	4587.50341949642	1171.67772207291	7	0.00784408055201841	TaxonKey:Match
2011	500679	2011:500679	3329.42975330588	618.293659810583	5	0.00574991664311924	TaxonKey:Match
2011	590010	2011:590010	8862.21245751211	2080.23654733387	9	0.00276066115566064	TaxonKey:Match
2011	590024	2011:590024	5.66790079235554	0.0513117175306994	3	0	TaxonKey:Match
2011	590024	2011:590024	0.304589973405026	0.00632732002319933	3	0	TaxonKey:Match
2011	590096	2011:590096	12822.4722153666	3589.30451230219	6	0.0160027915815141	TaxonKey:Match
2011	600097	2011:600097	3006.68745227281	660.877822131785	10	0.00138685911857318	TaxonKey:Match
2011	600115	2011:600115	2214.58388538406	655.731882251409	9	0.00968071703054666	TaxonKey:Match
