"Year","Species","Metric.Tons","Pounds","LandedValue","TaxonKey","FishingEntityName","Landings","ObservedPrice","Country"
2010,"ALEWIFE",861.7,1899783,468543,601583,"USA",861.72707345571,543.725518708658,"USA"
2010,"ALFONSIN",0,27,154,501129,"USA",0.01224699399,12574.5142135078,"USA"
2010,"AMBERJACK",38,83810,61710,500928,"USA",38.0155765297,1623.28197105701,"USA"
2010,"AMBERJACK, GREATER",680.4,1499993,1511549,601005,"USA",680.38537985341,2221.60711378846,"USA"
2010,"AMBERJACK, LESSER",18.5,40846,47713,500928,"USA",18.52743394502,2575.26218372106,"USA"
2010,"ANCHOVIES",30.1,66468,20386,400454,"USA",30.14937764916,676.166527787945,"USA"
2010,"ANCHOVY, NORTHERN",1271.6,2803420,562602,400454,"USA",1271.6099219054,442.432848555466,"USA"
2010,"ATKA MACKEREL",65864.9,145205708,27523017,604037,"USA",65864.201229248,417.875211212278,"USA"
2010,"BALLYHOO",507.6,1119089,814746,601059,"USA",507.61023175093,1605.06220922626,"USA"
2010,"BARRACUDA, PACIFIC",18.4,40590,27981,400360,"USA",18.4113142983,1519.77200251172,"USA"
2010,"BARRACUDAS",75,165265,162708,400360,"USA",74.96294302805,2170.51243491224,"USA"
2010,"BARRELFISH",7.6,16856,39333,603921,"USA",7.64575298872,5144.42463129912,"USA"
2010,"BASS, ROCK",0.7,1434,1079,400289,"USA",0.65045145858,1658.84784447338,"USA"
2010,"BASS, STRIPED",3425.5,7551866,15179250,600353,"USA",3425.46879686242,4431.29127724168,"USA"
2010,"BASS, WHITE",350.1,771831,579130,400289,"USA",350.09665252947,1654.20033529527,"USA"
2010,"BIGEYE",1.8,3971,3903,601149,"USA",1.80121530127,2166.87033318453,"USA"
2010,"BILLFISHES",0.4,827,575,400419,"USA",0.37512088999,1532.83918689607,"USA"
2010,"BLACK DRIFTFISH",1.4,3087,4959,603920,"USA",1.40023964619,3541.53663159964,"USA"
2010,"BLOODWORMS",242.3,534231,5893250,NA,"USA",242.32310541747,24319.8022320126,"USA"
2010,"BLUEFISH",3338.5,7360106,3179475,600364,"USA",3338.48792399122,952.369777093242,"USA"
2010,"BONITO, ATLANTIC",29.4,64799,115657,600115,"USA",29.39233198363,3934.93786285535,"USA"
2010,"BONITO, PACIFIC",18.4,40653,14375,604796,"USA",18.43989061761,779.559938727182,"USA"
2010,"BOWFIN",91.7,202144,126498,NA,"USA",91.69097604128,1379.6123180437,"USA"
2010,"BROTULA, BEARDED",2.1,4718,6024,600486,"USA",2.14004880166,2814.88907885058,"USA"
2010,"BUFFALOFISHES",1511.6,3332465,797671,NA,"USA",1511.58069729205,527.706526968096,"USA"
2010,"BULLHEAD, BROWN",35.4,78007,27964,NA,"USA",35.38338000659,790.31454866075,"USA"
2010,"BURBOT",6.4,14059,6939,600310,"USA",6.37705512983,1088.11980745492,"USA"
2010,"BUTTERFISH",700.9,1545221,962538,400425,"USA",700.90045556377,1373.28773631026,"USA"
2010,"CABEZON",46.3,102125,451370,604140,"USA",46.32312078625,9743.94627000129,"USA"
2010,"CARP, COMMON",512.5,1129823,196709,601450,"USA",512.47909225051,383.838097933261,"USA"
2010,"CARP, GRASS",45.6,100601,18408,NA,"USA",45.63184601437,403.402483305258,"USA"
2010,"CARPS AND MINNOWS",196,432091,1137524,100011,"USA",195.99318074567,5803.89580735518,"USA"
2010,"CATFISH, BLUE",1693.1,3732563,1774785,NA,"USA",1693.06209734431,1048.26928839992,"USA"
2010,"CATFISH, CHANNEL",1261.1,2780276,1275681,NA,"USA",1261.11198009412,1011.55251883722,"USA"
2010,"CATFISH, FLATHEAD",115.6,254835,126637,300032,"USA",115.59121160895,1095.55906748705,"USA"
2010,"CATFISHES & BULLHEADS",611.8,1348780,805170,300032,"USA",611.7963168086,1316.0752653761,"USA"
2010,"CLAM, ARC, BLOOD",12.5,27524,164561,NA,"USA",12.48467639188,13181.0384854693,"USA"
2010,"CLAM, ATLANTIC JACKKNIFE",44.8,98870,748813,690029,"USA",44.8466776219,16697.1789150849,"USA"
2010,"CLAM, ATLANTIC SURF",18484,40749766,28172556,690033,"USA",18483.7829368854,1524.17695534501,"USA"
2010,"CLAM, BUTTER",6.9,15133,20085,690064,"USA",6.86421333521,2926.04542125373,"USA"
2010,"CLAM, MANILA",425.4,937915,15599090,290004,"USA",425.43108770855,36666.5494146645,"USA"
2010,"CLAM, NORTHERN QUAHOG",2552.5,5627332,39280685,690270,"USA",2552.51485865684,15389.0132575643,"USA"
2010,"CLAM, OCEAN QUAHOG",14380.9,31704091,20009421,690275,"USA",14380.7337753857,1391.40473028216,"USA"
2010,"CLAM, PACIFIC GEODUCK",1259.9,2777529,62998493,690284,"USA",1259.86596185373,50004.1233809554,"USA"
2010,"CLAM, PACIFIC LITTLENECK",12.2,26811,73570,690285,"USA",12.16126503207,6049.53512697827,"USA"
2010,"CLAM, PACIFIC RAZOR",63,138826,548558,690286,"USA",62.97041435762,8711.3608127881,"USA"
2010,"CLAM, PACIFIC, GAPER",2.7,6061,16469,690664,"USA",2.74922335457,5990.41906603324,"USA"
2010,"CLAM, QUAHOG",287.5,633881,4061447,290004,"USA",287.52358508797,14125.6133779682,"USA"
2010,"CLAM, SOFTSHELL",1993.3,4394321,21302051,290004,"USA",1993.23047693077,10687.1991204958,"USA"
2010,"CLAMS OR BIVALVES",3217.7,7093824,5640254,290004,"USA",3217.70444052288,1752.88131780166,"USA"
2010,"COBIA",112.8,248674,688921,603542,"USA",112.79662901738,6107.63819806928,"USA"
2010,"COCKLE, NUTTALL",44.9,98892,124430,690651,"USA",44.85665665404,2773.94726405213,"USA"
2010,"COD, ATLANTIC",8039.4,17723579,28142681,600069,"USA",8039.28020349223,3500.64685987372,"USA"
2010,"COD, PACIFIC",244777,539635398,146940754,600308,"USA",244774.499114713,600.310712641419,"USA"
2010,"CRAB, ATLANTIC ROCK",1097.7,2420015,980862,690031,"USA",1097.70033928555,893.560806074274,"USA"
2010,"CRAB, BLUE",89417,197128744,198959594,690052,"USA",89416.0941860833,2225.09824222412,"USA"
2010,"CRAB, BLUE, PEELER",887.9,1957445,3749779,NA,"USA",887.88211669465,4223.28474635736,"USA"
2010,"CRAB, BLUE, SOFT",172,379164,1965921,NA,"USA",171.98589737868,11430.7104824497,"USA"
