Year,Species,Pounds,Tonnes (ConvertPounds),$,ObservedPrice,FishingEntityName,FishingEntityID
1950,ABALONES,"791,000",359,"369,244",1029.132333,USA,187
1950,ALEWIFE,"47,326,500","21,467","757,043",35.26553038,USA,187
1950,AMBERJACK,"44,800",20,"1,955",96.20618807,USA,187
1950,ANCHOVIES,"5,052,700","2,292","117,633",51.32629542,USA,187
1950,ARGENTINES,"4,900",2,"1,168",525.5100454,USA,187
1950,BARRACUDAS,"2,353,800","1,068","334,105",312.9303429,USA,187
1950,"BASS, ROCK","25,000",11,"3,555",313.4973368,USA,187
1950,"BASS, STRIPED","7,731,100","3,507","1,369,181",390.439576,USA,187
1950,"BASS, WHITE","1,037,900",471,"158,802",337.3142707,USA,187
1950,BLOODWORMS,"311,500",141,"242,118",1713.575666,USA,187
1950,BLUEFISH,"4,687,100","2,126","700,715",329.5880481,USA,187
1950,"BONITO, ATLANTIC","123,500",56,"9,728",173.6564281,USA,187
1950,"BONITO, PACIFIC","695,600",316,"67,703",214.5767185,USA,187
1950,BOWFIN,"40,900",19,913,49.21321403,USA,187
1950,BUFFALOFISHES,"861,300",391,"88,629",226.8588162,USA,187
1950,BURBOT,"586,200",266,"32,068",120.6036135,USA,187
1950,BUTTERFISH,"6,322,600","2,868","577,142",201.2432084,USA,187
1950,CABEZON,"21,700",10,556,56.48710497,USA,187
1950,"CARP, COMMON","7,479,800","3,393","354,891",104.6018245,USA,187
1950,CARPS AND MINNOWS,"34,900",16,"2,938",185.5925863,USA,187
1950,CATFISHES & BULLHEADS,"8,960,900","4,065","1,494,237",367.6225259,USA,187
1950,CHUBS,"9,413,100","4,270","1,428,151",334.4842828,USA,187
1950,"CLAM, ATLANTIC JACKKNIFE","78,200",35,"18,245",514.3649583,USA,187
1950,"CLAM, ATLANTIC SURF","7,741,900","3,512","764,275",217.6388166,USA,187
1950,"CLAM, BUTTER","46,700",21,"12,696",599.3552207,USA,187
1950,"CLAM, OCEAN QUAHOG","220,700",100,"18,393",183.7318708,USA,187
1950,"CLAM, PACIFIC LITTLENECK","186,700",85,"62,732",740.7626476,USA,187
1950,"CLAM, PACIFIC RAZOR","2,464,717","1,118","432,585",386.9355698,USA,187
1950,"CLAM, QUAHOG","20,801,900","9,436","7,247,240",768.0754763,USA,187
1950,"CLAM, SOFTSHELL","9,389,800","4,259","2,158,733",506.8469623,USA,187
1950,CLAMS OR BIVALVES,"52,300",24,"19,896",838.683971,USA,187
1950,COBIA,"55,500",25,"4,417",175.4561824,USA,187
1950,"COCKLE, NUTTALL","73,200",33,"4,392",132.2773573,USA,187
1950,"COD, ATLANTIC","57,490,400","26,077","3,622,665",138.9207452,USA,187
