Species,TaxonKey
Crest-tail catsharks nei - Galeus spp,NA
Crevalle jack - Caranx hippos,NA
Crimson jobfish - Pristipomoides filamentosus,NA
"Croakers,Drums, nei - Sciaenidae",NA
Crocodile shark - Pseudocarcharias kamoharai,NA
Crossocheilus latius,NA
Crucian carp - Carassius carassius,NA
Crustaceans,290022
Crustaceans and molluscs,NA
Cuckoo ray - Raja naevus,NA
Cuckoo wrasse - Labrus bimaculatus,NA
Cupped oysters nei - Crassostrea spp,NA
Curled picarel - Centracanthus cirrus,NA
"Cuttlefish, Bobtail squids, nei - Sepiidae, Sepiolidae",NA
Cuttlefishes nei - Sepia spp,NA
Damselfish - Chromis chromis,NA
Deep water sole - Bathysolea profundicola,NA
"Deep-sea crabs, geryons nei",NA
Deep-sea red crab - Chaceon affinis,NA
Deepsea smelt - Glossanodon semifasciatus,NA
Deep-water Cape hake - Merluccius paradoxus,NA
Deep-water catsharks - Apristurus spp,NA
Deepwater longtail red snapper - Etelis coruscans,NA
Deep-water red snapper - Etelis carbunculus,NA
Deepwater rose shrimp - Parapenaeus longirostris,NA
Delta prawn - Palaemon longirostris,NA
Demersal percomorphs nei - Perciformes,NA
Dentex nei - Dentex spp,NA
Devil fish - Mobula mobular,NA
Diadromous fishes,100025
Diamondback squid - Thysanoteuthis rhombus,NA
Diploconger polystigmatus,NA
"Dogfish sharks etc, nei - Squaliformes",NA
Dogfish sharks nei - Squalidae,NA
Dogfishes nei - Squalus spp,NA
"Dogfishes,Hounds, nei - Squalidae, Scyliorhinidae",NA
Dogtooth grouper - Epinephelus caninus,NA
Dogtooth tuna - Gymnosarda unicolor,NA
Dolichosudis fuliginosa,NA
Dolphinfishes nei - Coryphaenidae,NA
Donax clams - Donax spp,NA
Dories nei - Zeidae,NA
Dragonet - Callionymus lyra,NA
Driftfish - Cubiceps gracilis,NA
Drums nei - Umbrina spp,NA
Dusky grouper - Epinephelus marginatus,NA
Dusky shark - Carcharhinus obscurus,NA
Dusky spinefoot - Siganus luridus,NA
Dwarf bobtail squid - Sepiola rondeleti,NA
Dwarf sawtail catshark - Galeus schultzi,NA
Eagle rays - Myliobatidae,NA
"Eared seals, hair seals, walruses",NA
Echinoderms - Echinodermata,NA
Edible crab - Cancer pagurus,NA
Eelpout - Zoarces viviparus,NA
Eelpouts - Lycodes spp,NA
Electric rays nei - Torpedinidae,NA
Elegant cuttlefish - Sepia elegans,NA
Ellopostoma megalomycter,NA
Emerald wrasse,NA
Emperors(=Scavengers) nei - Lethrinidae,NA
Escolar - Lepidocybium flavobrunneum,NA
European anchovy - Engraulis encrasicolus,NA
European barracuda - Sphyraena sphyraena,NA
European common squid - Alloteuthis subulata,NA
European conger - Conger conger,NA
European edible sea-urchin - Echinus esculentus,NA
European eel - Anguilla anguilla,NA
European flat oyster - Ostrea edulis,NA
European flounder - Platichthys flesus,NA
European flying squid - Todarodes sagittatus,NA
European hake - Merluccius merluccius,NA
European lobster - Homarus gammarus,NA
European perch - Perca fluviatilis,NA
European pilchard(=Sardine) - Sardina pilchardus,NA
European plaice - Pleuronectes platessa,NA
European prickly cockle - Acanthocardia echinata,NA
European razor clam - Solen marginatus,NA
European seabass - Dicentrarchus labrax,NA
European smelt - Osmerus eperlanus,NA
European sprat - Sprattus sprattus,NA
European squid - Loligo vulgaris,NA
European whitefish - Coregonus lavaretus,NA
Exasperating jujubine - Jujubinus exasperatus,NA
False scad - Caranx rhonchus,NA
Fangtooth moray - Enchelycore anatina,NA
Filefishes nei - Cantherhines (=Navodon) spp,NA
"Filefishes, leatherjackets nei - Monacanthidae",NA
Finfish,NA
Finfish and invertebrates,NA
Finfishes nei - Osteichthyes,NA
Flat and cupped oysters nei - Ostreidae,NA
Flat oysters nei - Ostrea spp,NA
Flatfishes nei - Pleuronectiformes,NA
Flathead grey mullet - Mugil cephalus,NA
Fleshy dilsea - Dilsea carnosa,NA
"Flounders, halibuts, soles",NA
Flutemouth - Fistularia spp,NA
Flying gurnard - Dactylopterus volitans,NA
Flying squids nei - Ommastrephes spp,NA
Flyingfishes nei - Exocoetidae,NA
Forkbeard - Phycis phycis,NA
Forkbeards nei - Phycis spp,NA
Fourhorn sculpin - Triglopsis quadricornis,NA
Four-spot megrim - Lepidorhombus boscii,NA
Four-spotted goby - Deltentosteus quadrimaculatus,NA
Freshwater and diadromous fishes,NA
Freshwater bream - Abramis brama,NA
Freshwater breams nei - Abramis spp,NA
Freshwater crustaceans,NA
Freshwater fishes,NA
Freshwater fishes nei - Osteichthyes,NA
Freshwater molluscs,NA
"Frigate and bullet tuna - Auxis thazard, A.rochei",NA
Frigate tuna - Auxis thazard,NA
Fucus spp,NA
Fusca drum - Umbrina ronchus,NA
Gadiformes nei - Gadiformes,NA
Garfish - Belone belone,NA
Gastropods nei - Gastropoda,NA
Gelidium rex,NA
Gelidium seaweeds - Gelidium spp,NA
Geryons nei - Geryon spp,NA
Giant goby - Gobius cobitis,NA
Giant red shrimp - Aristaeomorpha foliacea,NA
Giant tiger prawn - Penaeus monodon,NA
Gibbous nassa - Nassarius gibbosulus,NA
Gilchrist's round herring - Gilchristella aestuarius,NA
Gilthead seabream - Sparus aurata,NA
Girdle anemone - Actinia cari,NA
Glasseye - Heteropriacanthus cruentatus,NA
Glasshead grenadier - Hymenocephalus italicus,NA
"Goatfishes,Red mullets, nei - Mullidae",NA
Gobies nei - Gobiidae,NA
Gobius strictus,NA
Goldblotch grouper - Epinephelus costae,NA
Golden carpet shell - Venerupis aurea,NA
Golden grey mullet - Liza aurata,NA
Golden redfish - Sebastes marinus,NA
Golden shrimp - Plesionika martia,NA
Goldfish - Carassius auratus,NA
Goldsinny-wrasse - Ctenolabrus rupestris,NA
Goldstripe sardinella - Sardinella gibbosa,NA
Grass carp (=White amur) - Ctenopharyngodon idellus,NA
Grass goby - Zosterisessor ophiocephalus,NA
Great Atlantic scallop - Pecten maximus,NA
Great barracuda - Sphyraena barracuda,NA
Great lanternshark - Etmopterus princeps,NA
Great Mediterranean scallop - Pecten jacobaeus,NA
Great Northern tilefish - Lopholatilus chamaeleonticeps,NA
Greater amberjack - Seriola dumerili,NA
Greater argentine - Argentina silus,NA
Greater forkbeard - Phycis blennoides,NA
Greater weever - Trachinus draco,NA
Green crab - Carcinus maenas,NA
Green jobfish - Aprion virescens,NA
Green wrasse - Labrus viridis,NA
Greenish glauconomya - Glauconome virens,NA
Greenland cod - Gadus ogac,NA
Greenland halibut - Reinhardtius hippoglossoides,NA
Greenland shark - Somniosus microcephalus,NA
Grenadiers nei - Macrourus spp,NA
"Grenadiers,Rattails, nei - Macrouridae",NA
Grey gurnard - Eutrigla gurnardus,NA
Grey triggerfish - Balistes capriscus,NA
Grey wrasse - Symphodus cinereus,NA
Grooved carpet shell - Tapes decussatus,NA
Grooved sea-squirt - Microcosmus sulcatus,NA
Groundfishes nei - Osteichthyes,NA
Groupers nei - Epinephelus spp,NA
"Groupers, Seabasses, nei - Serranidae",NA
"Grunts, Sweetlips, nei - Haemulidae (=Pomadasyidae)",NA
Guinean amberjack - Seriola carpenteri,NA
"Guitarfishes etc, nei - Rhinobatidae",NA
Guitarfishes nei - Rhinobatos spp,NA
Gulper shark - Centrophorus granulosus,NA
Gurnards nei - Trigla spp,NA
"Gurnards,Searobins nei - Triglidae",NA
Haddock - Melanogrammus aeglefinus,NA
Hairtails nei - Trichiurus spp,NA
"Hairtails, Scabbardfishes, nei - Trichiuridae",NA
Hakes nei - Merluccius spp,NA
Halfspined flathead - Sorsogona prionota,NA
Hammerhead sharks nei - Sphyrna spp,NA
Hapuku wreckfish - Polyprion oxygeneios,NA
Hard clams nei - Meretrix spp,NA
Henslow<U+0092>s swimming crab - Polybius henslowii,NA
"Herrings, sardines, anchovies",NA
"Herrings, Sardines, nei - Clupeidae",NA
Homarus spp,NA
Horned and musky octopuses - Eledone spp,NA
Horned octopus - Eledone cirrosa,NA
Horse mussels nei - Modiolus spp,NA
"Houndsharks, Smoothhounds, nei - Triakidae",NA
Iceland catshark - Apristurus laurussonii,NA
Icelandic scallop - Chlamys islandica,NA
Imperial blackfish - Schedophilus ovalis,NA
Imperial scaldfish - Arnoglossus imperialis,NA
Indo-Pacific gurnards - Chelidonichthys spp,NA
Indo-Pacific king mackerel - Scomberomorus guttatus,NA
Indo-Pacific sailfish - Istiophorus platypterus,NA
Inshore squids nei - Loliginidae,NA
Intermediate scabbardfish - Aphanopus intermedius,NA
Island grouper - Mycteroperca fusca,NA
Jack and horse mackerels nei - Trachurus spp,NA
"Jacks, Crevalles, nei - Caranx spp",NA
Japanese carpet shell - Ruditapes philippinarum,NA
Japanese isinglass - Gelidium amansii,NA
Jellyfishes - Rhopilema spp,NA
John dory - Zeus faber,NA
Juan Fernandez trevally - Pseudocaranx chilensis,NA
Kaup's arrowtooth eel - Synaphobranchus kaupii,NA
Kelps nei - Laminariaceae,NA
King crabs - Paralithodes spp,NA
King crabs nei - Lithodes spp,NA
"King crabs, squat-lobsters",NA
"King crabs,Stone crabs, nei - Lithodidae",NA
Kingklip - Genypterus capensis,NA
Kitefin shark - Dalatias licha,NA
Klein's sole - Centroceras clavulatum,NA
Knifetooth dogfish - Scymnodon ringens,NA
Knobbed triton - Charonia rubicunda,NA
Knobby swimcrab - Macropipus tuberculatus,NA
Knout goby - Mesogobius batrachocephalus,NA
Kuro shrimp - Argis lar,NA
Kuruma prawn - Penaeus japonicus,NA
Labio monodont - Monodonta labio,NA
Lake(=Common) whitefish - Coregonus clupeaformis,NA
Lampadena speculigera,NA
Lampreys nei - Petromyzonidae,NA
Lantern sharks nei - Etmopterus spp,NA
