"","Year","FishingEntityID","TaxonKey","EndProduct","ObservedPrice","nominalUSD","IPrice"
"1",2011,101,1e+05,"DHC",1104.89977669103,1490.56961268818,2239.37015980379
"2",2011,101,100011,"DHC",611.015073115596,824.292411034882,1238.38283868893
"3",2011,101,100025,"DHC",1387.5871461104,1871.93017736236,2812.31050515078
"4",2011,101,100031,"DHC",433.792351510523,585.209365608321,879.194355919783
"5",2011,101,100035,"DHC",276.315066903607,372.763983614769,560.025197381461
"6",2011,101,100036,"DHC",1189.80402283985,1605.11003704833,2411.45095778867
"7",2011,101,100039,"DHC",896.245918104724,1209.08426194414,1816.47820661195
"8",2011,101,100047,"DHC",2077.7853343415,2803.04489727908,4211.1787642287
"9",2011,101,100139,"DHC",1104.89977669103,1490.56961268818,2239.37015980379
"10",2011,101,100339,"DHC",1032.23195683596,1392.53678981925,2092.08969980697
"11",2011,101,200538,"DHC",2227.62562287576,3005.18755814057,4514.86954049523
"12",2011,101,300031,"DHC",1847.04323810162,2491.76131818997,3743.51918475296
"13",2011,101,300036,"DHC",1607.00491412724,2167.9366246342,3257.01835340394
"14",2011,101,300044,"DHC",1306.76716477852,1762.89964734261,2648.50754462115
"15",2011,101,400043,"DHC",510.418600996631,688.582324339758,1034.49761525319
"16",2011,101,400122,"DHC",489.439805971329,660.280794160091,991.978566413308
"17",2011,101,400183,"DHC",1635.95538193961,2206.99237295145,3315.69409494996
"18",2011,101,400330,"DHC",489.478275878523,660.33269214747,992.05653580387
"19",2011,101,400405,"DHC",529.430641761126,714.23059655103,1073.03051901799
"20",2011,101,500108,"DHC",2227.62562287576,3005.18755814057,4514.86954049523
"21",2011,101,500124,"DHC",239.74446165479,323.428257378357,485.905242026392
"22",2011,101,500352,"DHC",652.84604393523,880.724655197086,1323.16430917637
"23",2011,101,500661,"DHC",909.031083774388,1226.33214255957,1842.39070935002
"24",2011,101,501135,"DHC",2197.65756516889,2964.75902596825,4454.13138524189
"25",2011,101,501940,"DHC",1168.75425056708,1576.71275471946,2368.78805487862
"26",2011,101,502724,"DHC",1658.62611795741,2237.5764231235,3361.64230745761
"27",2011,101,503663,"DHC",583.685899431276,787.423876265401,1182.99307634863
"28",2011,101,505897,"DHC",2936.86965527128,3961.99615288501,5952.33921482351
"29",2011,101,600024,"DHC",255.759152464546,345.032942238651,518.363227333669
"30",2011,101,600026,"DHC",2537.29555251319,3422.94905725427,5142.4971447793
"31",2011,101,600047,"DHC",654.820287938025,883.388017232881,1327.16563418457
"32",2011,101,600069,"DHC",1430.17509483846,1929.38362570215,2898.62619057384
"33",2011,101,600076,"DHC",2936.86965527096,3961.99615288458,5952.33921482286
"34",2011,101,600093,"DHC",3755.99656592496,5067.04269892748,7612.5154584133
"35",2011,101,600097,"DHC",1098.82878258444,1482.37951298412,2227.06569262093
"36",2011,101,600107,"DHC",1169.68384453194,1577.96682730178,2370.67212167776
"37",2011,101,600115,"DHC",1055.05795697216,1423.33029969228,2138.35259590942
"38",2011,101,600117,"DHC",1558.33900075613,2102.28367295932,3158.38407317154
"39",2011,101,600118,"DHC",1558.33900075612,2102.2836729593,3158.38407317152
"40",2011,101,600236,"DHC",2658.72063022375,3586.75806045247,5388.59701864408
"41",2011,101,600238,"DHC",3677.08435406507,4960.58585320286,7452.57909476195
"42",2011,101,600258,"DHC",1208.71166084488,1630.61746428522,2449.77226188707
"43",2011,101,600272,"DHC",422.387110949013,569.823078666262,856.07863455063
"44",2011,101,600312,"DHC",3046.75253352963,4110.2341041833,6175.04578408541
"45",2011,101,600331,"DHC",2767.05066159904,3732.90113724188,5608.15633505461
"46",2011,101,600358,"DHC",879.482455405179,1186.46944326963,1782.5026380253
"47",2011,101,600360,"DHC",1727.32885341237,2330.26013248618,3500.88648047707
"48",2011,101,600364,"DHC",809.137558084919,1091.57036865196,1639.93019183908
"49",2011,101,600371,"DHC",909.031083774371,1226.33214255955,1842.39070934999
"50",2011,101,600385,"DHC",449.520865602726,606.427982584413,911.072328799474
"51",2011,101,600391,"DHC",519.446333585374,700.761224319768,1052.79469105717
"52",2011,101,600516,"DHC",4025.70908528655,5430.89948847807,8159.15885569289
"53",2011,101,600521,"DHC",2537.29555251315,3422.94905725422,5142.49714477922
"54",2011,101,601043,"DHC",1168.7542505671,1576.71275471949,2368.78805487866
"55",2011,101,601047,"DHC",1168.75425056709,1576.71275471948,2368.78805487864
"56",2011,101,601198,"DHC",1157.22563372063,1561.16002649002,2345.42227900067
"57",2011,101,601288,"DHC",349.627339913233,471.666208676768,708.611811288483
"58",2011,101,601334,"DHC",1657.76008457458,2236.4080972072,3359.88706290437
"59",2011,101,601341,"DHC",413.099994959321,557.294256436609,837.255850026013
"60",2011,101,601348,"DHC",1374.16675822684,1853.82534759252,2785.11055743295
"61",2011,101,601350,"DHC",1107.17847870859,1493.64370506778,2243.98854909924
"62",2011,101,601356,"DHC",4475.22995088943,6037.32747106269,9070.23118449268
"63",2011,101,601357,"DHC",219.311034328462,295.862457748176,444.49152434592
"64",2011,101,601371,"DHC",7492.01442671212,10107.1330430736,15184.5388133246
"65",2011,101,601753,"DHC",4475.22995088942,6037.32747106268,9070.23118449266
"66",2011,101,601773,"DHC",2936.86965527114,3961.99615288482,5952.33921482322
"67",2011,101,601894,"DHC",2936.86965527118,3961.99615288488,5952.3392148233
"68",2011,101,602951,"DHC",454.463450501335,613.095797180286,921.089777773343
"69",2011,101,604239,"DHC",2247.60432801374,3032.13991292221,4555.36164399759
"70",2011,101,605355,"DHC",652.84604393523,880.724655197086,1323.16430917637
"71",2011,101,690269,"DHC",2077.7853343415,2803.04489727908,4211.1787642287
"72",2011,208,500679,"DHC",5886.6,7932.74257677593,6968.49429380644
"73",2011,208,501163,"DHC",3570,4810.90799427345,4226.12792255105
"74",2011,208,504212,"DHC",11930,16076.7877791827,14122.6067551916
"75",2011,208,590010,"DHC",12129.3,16345.3631190311,14358.5359694673
"76",2011,208,590024,"DHC",6480,8732.40442658037,7670.95488463047
"77",2011,208,590082,"DHC",24330,32786.9443979476,28801.5944973857
"78",2011,208,590096,"DHC",19107.6,25749.2732748962,22619.3730792539
"79",2011,208,600030,"DHC",10297.8,13877.246034574,12190.4258041586
"80",2011,208,600063,"DHC",6499.99999999999,8759.3562920945,7694.63067131142
"81",2011,208,600066,"DHC",2670,3598.07404613728,3160.71752190793
"82",2011,208,600097,"DHC",3570,4810.90799427345,4226.12792255105
"83",2011,208,600115,"DHC",3570,4810.90799427345,4226.12792255105
"84",2011,208,600142,"DHC",1931,2602.20261538992,2285.89720404652
"85",2011,208,600147,"DHC",7447,10035.5271241889,8815.6791706548
"86",2011,208,600203,"DHC",6330,8530.26543522434,7493.38648452329
