"","Year","FishingEntityID","TaxonKey","EndProduct","ObservedPrice"
"1",2011,101,1e+05,"DHC",1104.89977669103
"2",2011,101,100011,"DHC",611.015073115596
"3",2011,101,100025,"DHC",1387.5871461104
"4",2011,101,100031,"DHC",433.792351510523
"5",2011,101,100035,"DHC",276.315066903607
"6",2011,101,100036,"DHC",1189.80402283985
"7",2011,101,100039,"DHC",896.245918104724
"8",2011,101,100047,"DHC",2077.7853343415
"9",2011,101,100139,"DHC",1104.89977669103
"10",2011,101,100339,"DHC",1032.23195683596
"11",2011,101,200538,"DHC",2227.62562287576
"12",2011,101,300031,"DHC",1847.04323810162
"13",2011,101,300036,"DHC",1607.00491412724
"14",2011,101,300044,"DHC",1306.76716477852
"15",2011,101,400043,"DHC",510.418600996631
"16",2011,101,400122,"DHC",489.439805971329
"17",2011,101,400183,"DHC",1635.95538193961
"18",2011,101,400330,"DHC",489.478275878523
"19",2011,101,400405,"DHC",529.430641761126
"20",2011,101,500108,"DHC",2227.62562287576
"21",2011,101,500124,"DHC",239.74446165479
"22",2011,101,500352,"DHC",652.84604393523
"23",2011,101,500661,"DHC",909.031083774388
"24",2011,101,501135,"DHC",2197.65756516889
"25",2011,101,501940,"DHC",1168.75425056708
"26",2011,101,502724,"DHC",1658.62611795741
"27",2011,101,503663,"DHC",583.685899431276
"28",2011,101,505897,"DHC",2936.86965527128
"29",2011,101,600024,"DHC",255.759152464546
"30",2011,101,600026,"DHC",2537.29555251319
"31",2011,101,600047,"DHC",654.820287938025
"32",2011,101,600069,"DHC",1430.17509483846
"33",2011,101,600076,"DHC",2936.86965527096
"34",2011,101,600093,"DHC",3755.99656592496
"35",2011,101,600097,"DHC",1098.82878258444
"36",2011,101,600107,"DHC",1169.68384453194
"37",2011,101,600115,"DHC",1055.05795697216
"38",2011,101,600117,"DHC",1558.33900075613
"39",2011,101,600118,"DHC",1558.33900075612
"40",2011,101,600236,"DHC",2658.72063022375
"41",2011,101,600238,"DHC",3677.08435406507
"42",2011,101,600258,"DHC",1208.71166084488
"43",2011,101,600272,"DHC",422.387110949013
"44",2011,101,600312,"DHC",3046.75253352963
"45",2011,101,600331,"DHC",2767.05066159904
"46",2011,101,600358,"DHC",879.482455405179
"47",2011,101,600360,"DHC",1727.32885341237
"48",2011,101,600364,"DHC",809.137558084919
"49",2011,101,600371,"DHC",909.031083774371
"50",2011,101,600385,"DHC",449.520865602726
"51",2011,101,600391,"DHC",519.446333585374
"52",2011,101,600516,"DHC",4025.70908528655
"53",2011,101,600521,"DHC",2537.29555251315
"54",2011,101,601043,"DHC",1168.7542505671
"55",2011,101,601047,"DHC",1168.75425056709
"56",2011,101,601198,"DHC",1157.22563372063
"57",2011,101,601288,"DHC",349.627339913233
"58",2011,101,601334,"DHC",1657.76008457458
"59",2011,101,601341,"DHC",413.099994959321
"60",2011,101,601348,"DHC",1374.16675822684
"61",2011,101,601350,"DHC",1107.17847870859
"62",2011,101,601356,"DHC",4475.22995088943
"63",2011,101,601357,"DHC",219.311034328462
"64",2011,101,601371,"DHC",7492.01442671212
"65",2011,101,601753,"DHC",4475.22995088942
"66",2011,101,601773,"DHC",2936.86965527114
"67",2011,101,601894,"DHC",2936.86965527118
"68",2011,101,602951,"DHC",454.463450501335
"69",2011,101,604239,"DHC",2247.60432801374
"70",2011,101,605355,"DHC",652.84604393523
"71",2011,101,690269,"DHC",2077.7853343415
"72",2011,208,500679,"DHC",5886.6
"73",2011,208,501163,"DHC",3570
"74",2011,208,504212,"DHC",11930
