"","Year","FishingEntityID","TaxonKey","EndProduct","ObservedPrice"
"1",2011,6,100039,"DHC",6472.92676862262
"2",2011,6,100047,"DHC",26774.8530576055
"3",2011,6,100339,"DHC",5237.09836406152
"4",2011,6,190195,"DHC",11003.2168744604
"5",2011,6,200007,"DHC",4401.7418851719
"6",2011,6,200538,"DHC",5037.9929783275
"7",2011,6,290002,"DHC",7726.74878242456
"8",2011,6,300003,"DHC",5339.68314668521
"9",2011,6,300014,"DHC",5668.78534370744
"10",2011,6,300031,"DHC",4788.436966673
"11",2011,6,390011,"DHC",23107.088008422
"12",2011,6,390013,"DHC",28660.687583171
"13",2011,6,400022,"DHC",5668.78534370731
"14",2011,6,400043,"DHC",4765.60679906226
"15",2011,6,400145,"DHC",1686.64875973873
"16",2011,6,400183,"DHC",6277.42328552768
"17",2011,6,400359,"DHC",4508.70009920403
"18",2011,6,400382,"DHC",2381.87715094814
"19",2011,6,490055,"DHC",48953.9518070523
"20",2011,6,500048,"DHC",4788.436966673
"21",2011,6,600076,"DHC",2982.48866051363
"22",2011,6,600139,"DHC",4401.74188517181
"23",2011,6,600299,"DHC",2554.65580438482
"24",2011,6,600306,"DHC",8408.56113391753
"25",2011,6,600320,"DHC",6261.16929834732
"26",2011,6,600322,"DHC",14916.5570800312
"27",2011,6,600325,"DHC",6524.45105596526
"28",2011,6,600329,"DHC",4952.98806518407
"29",2011,6,600349,"DHC",2468.26647766643
"30",2011,6,600351,"DHC",7120.94878806782
"31",2011,6,600364,"DHC",7528.21275688276
"32",2011,6,600386,"DHC",3982.13658396863
"33",2011,6,600413,"DHC",5191.5871580252
"34",2011,6,600417,"DHC",3360.95618708922
"35",2011,6,600425,"DHC",4196.05301203298
"36",2011,6,600460,"DHC",2912.55444364646
"37",2011,6,600465,"DHC",8001.29716510205
"38",2011,6,600466,"DHC",15632.3543585543
"39",2011,6,600467,"DHC",76664.3567963215
"40",2011,6,600482,"DHC",11518.576895777
"41",2011,6,600727,"DHC",3702.39971649974
"42",2011,6,601288,"DHC",5722.26445072345
"43",2011,6,601587,"DHC",2098.02650601653
"44",2011,6,601659,"DHC",4776.09563428462
"45",2011,6,601756,"DHC",7157.9727852328
"46",2011,6,603574,"DHC",5841.56399714406
"47",2011,6,604642,"DHC",7561.12297658508
"48",2011,6,605937,"DHC",4113.77746277749
"49",2011,6,607137,"DHC",4233.07700919804
"50",2011,6,607609,"DHC",5668.78534370741
"51",2011,6,607620,"DHC",5339.68314668519
"52",2011,6,608390,"DHC",7474.73364986667
"53",2011,6,612930,"DHC",6343.44484760291
"54",2011,6,614063,"DHC",8606.02245213055
"55",2011,6,614143,"DHC",5668.78534370734
