TaxonKey,Year,FishingEntityName,LandedValue,Landings,ObservedPrice,FishingEntityID
100000,2005,United Kingdom,242971.9721,4850,50.09731383,183
100000,2004,United Kingdom,124496.3383,2185,56.9777292,183
100000,2001,United Kingdom,15275.43554,262,58.30318908,183
100000,2003,United Kingdom,150772.334,2383,63.2699681,183
100000,2005,Ireland,1019143,14287,71.33358998,86
100000,2006,United Kingdom,191603.7548,2479,77.29074419,183
100000,2004,Ireland,158197,1961,80.67159612,86
100000,2009,Latvia,589832.2036,6386,92.36332659,98
100000,2010,Latvia,787090.8629,7801,100.8961496,98
100000,2006,Ireland,129090,1161,111.1886305,86
100000,2009,Latvia,132528.2566,1083,122.3714281,98
100000,2009,Latvia,8852566.206,69010,128.2794697,98
100000,2010,Finland,997278,7632,130.6705975,57
100000,2010,Latvia,8371980.907,63358,132.137708,98
100000,2009,Finland,1692535,12499,135.4136331,57
100000,2008,Latvia,70151.68539,498,140.8668381,98
100000,2008,Germany,585457,4046,144.7001977,66
100000,2008,Ireland,360304,2465,146.1679513,86
100000,2007,Latvia,11746588.12,79784,147.2298721,98
100000,2009,Ireland,4308853,29168,147.7253497,86
100000,2009,Germany,840979,5605,150.0408564,66
100000,2009,Finland,1039039,6339,163.9121313,57
100000,2008,Latvia,13763719.8,83488,164.85866,98
100000,2008,Finland,2661267,15787,168.5733198,57
100000,2008,Latvia,389841.9944,2282,170.8334769,98
100000,2010,Ireland,6698249,38552,173.7458238,86
100000,2007,Ireland,1042105,5891,176.8978102,86
100000,2007,United Kingdom,348080.3347,1891,184.0720966,183
100000,2010,Germany,653446,3497,186.859022,66
100000,2007,Finland,17649769,92793,190.2058237,57
100000,2010,Latvia,41917.67368,216,194.0633041,98
100000,2010,Finland,655185,3191,205.3227828,57
100000,2010,Finland,3049928,14812,205.9092628,57
100000,2008,Finland,19169788,90686,211.3864103,57
100000,2009,Finland,18042550,84400,213.7742891,57
100000,2008,Finland,329489,1499,219.8058706,57
100000,2008,Netherlands,734590,3261,225.2652561,118
100000,2007,Latvia,1113138.687,4923,226.1098288,98
100000,2007,Finland,3620521,15960,226.8496867,57
100000,1999,United Kingdom,30146707.43,132835,226.9485258,183
100000,2010,Finland,19397147,82989,233.7315427,57
100000,2007,United Kingdom,8394166.47,33923,247.4476452,183
100000,1995,United Kingdom,12894464.5,47699,270.3298706,183
100000,2004,Germany,579,2,289.5,66
100000,2009,Lithuania,129685.9833,409,317.0806437,101
100000,2007,Germany,1281573,3873,330.8993029,66
100000,1995,Ireland,5627628,16610,338.8096328,86
100000,1997,United Kingdom,30503438.23,88826,343.4066403,183
100000,2008,Germany,663652,1919,345.8322043,66
100000,2007,United Kingdom,319402.599,919,347.5545147,183
100000,2003,Germany,7576,21,360.7619048,66
100000,2005,Slovenia,367481,1011,363.4826904,162
100000,2010,Netherlands,1244044,3399,366.002942,118
100000,2005,Germany,3393,9,377,66
100000,2008,United Kingdom,8123337.051,21327,380.8945023,183
100000,2002,Germany,2020,5,404,66
100000,2004,Slovenia,327602,808,405.4480198,162
100000,1998,United Kingdom,53394602.55,125639,424.9843006,183
100000,2009,Lithuania,10217419.18,24012,425.5130425,101
100000,2009,Poland,3170424.268,7402,428.3199497,140
100000,1996,United Kingdom,32535569.49,75514,430.8548017,183
100000,1996,Germany,22654,52,435.6538462,66
100000,2010,Poland,3709895.857,8422,440.5005767,140
100000,1999,Ireland,10665743,24016,444.1098851,86
100000,2008,Spain,527712,1142,462.0945709,165
100000,2009,Poland,17663687.87,38123,463.3341517,140
100000,2010,Bulgaria,4493922.379,9674,464.5361152,21
100000,2010,United Kingdom,10243924.42,22014,465.3368046,183
100000,1999,Latvia,435461.4462,930,468.2381142,98
100000,2007,Netherlands,26234397,55956,468.8397491,118
100000,2009,United Kingdom,7304579.721,15443,473.0026369,183
100000,2008,Poland,9882375.73,20874,473.4298999,140
100000,2009,Germany,23389461,48257,484.6853513,66
100000,2008,Lithuania,7099480.899,14304,496.3283626,101
100000,2007,Ireland,8358962,16706,500.3568778,86
100000,2010,Poland,9859571.144,19574,503.7075275,140
100000,2003,Slovenia,581271,1086,535.2403315,162
100000,2007,United Kingdom,14524282.31,27049,536.9618955,183
100000,2009,Spain,567598,1038,546.8188825,165
100000,2007,Lithuania,40427.26715,73,553.7981801,101
100000,1997,Ireland,5217745,9343,558.4656962,86
100000,2007,Lithuania,9327811.258,16635,560.7340702,101
100000,2007,Poland,13798018.84,24530,562.4956721,140
100000,2007,Poland,530346.2475,933,568.4311334,140
100000,2001,Denmark,65187447.18,110380,590.572995,46
100000,1996,Ireland,11148704,18435,604.7574722,86
100000,2009,Finland,199100,328,607.0121951,57
100000,2004,Denmark,65965099.76,107586,613.1383243,46
100000,2010,Lithuania,6155405.819,10024,614.0668215,101
100000,2010,Spain,329052.6,528.1,623.0876728,165
100000,2006,Poland,1442098.62,2285,631.1153697,140
100000,2003,Denmark,92183297.36,143830,640.918427,46
100000,2005,Norway,34142237.54,52668,648.2539215,128
100000,2008,Germany,26143417,40132,651.4356872,66
100000,2010,Ireland,10088822,15401,655.0757743,86
100000,2007,Poland,2945465.139,4484,656.883394,140
100000,2009,Germany,18839445,28327,665.070251,66
100000,2010,Germany,29095152,43687,665.9910729,66
100000,2009,Ireland,11823975,17374,680.5557154,86
100000,2003,Norway,17596992.16,25626,686.6850916,128
100000,2007,Bulgaria,5388654.141,7831,688.118266,21
100000,2007,Spain,606986,881,688.9738933,165
100000,2003,Sweden,2786911.186,3997,697.2507345,169
100000,1997,Germany,30206,43,702.4651163,66
100000,2005,Denmark,49914207.81,70930,703.7108109,46
100000,2010,United Kingdom,40037880.61,56357,710.4331425,183
100000,2002,Denmark,56593937.42,79457,712.2586735,46
100000,2010,Germany,18000227,25263,712.5134386,66
100000,2009,United Kingdom,51969081.39,70354,738.679839,183
100000,2007,United Kingdom,6209503.748,8402,739.0506722,183
100000,2007,Germany,25659596,34031,754.0065235,66
100000,2006,Bulgaria,3320756.857,4388,756.7814168,21
100000,2008,Germany,26361750,34510,763.887279,66
100000,2004,Portugal,768,1,768,141
100000,2002,Latvia,138586.887,179,774.2284192,98
100000,2004,Norway,28380694.05,36195,784.1053751,128
100000,2008,Ireland,11524433,14682,784.9361804,86
100000,2008,Bulgaria,6127311.32,7652,800.7463827,21
100000,2009,Bulgaria,5936815.397,7393,803.0319759,21
100000,2002,Norway,23602058.46,29308,805.3111251,128
100000,2008,United Kingdom,27257356.85,32949,827.2590019,183
100000,2009,Ireland,187094419,225337,830.2871654,86
100000,2002,Sweden,3648874.828,4386,831.9368054,169
100000,2007,Germany,30794198,36565,842.1768905,66
100000,2008,Latvia,190732.4438,225,847.6997503,98
100000,1998,Ireland,17820112,20985,849.1833214,86
100000,2010,Latvia,1041449.356,1201,867.1518364,98
100000,2008,Ireland,9903693,11392,869.3550737,86
100000,2010,Netherlands,37664284,43318,869.483448,118
100000,2010,Ireland,1011323.42,1150.6,878.9530853,86
100000,2009,Ireland,5030008,5639,892.0035467,86
100000,2001,Germany,893,1,893,66
100000,2007,Ireland,14431174,16157,893.1840069,86
100000,2010,Ireland,31343172,34799,900.691744,86
100000,2006,Norway,1128643.793,1251,902.1932798,128
100000,2010,Ireland,9179127,10124,906.6699921,86
100000,2010,Lithuania,2004175.044,2126,942.6975746,101
100000,2001,Norway,7815508.049,8277,944.2440557,128
100000,1998,Germany,24252,25,970.08,66
100000,2007,Ireland,3913124,4009,976.0848092,86
100000,2008,Germany,1748744,1774,985.7632469,66
100000,2009,France,1577822,1560,1011.424359,58
100000,2009,Lithuania,1338062.204,1310,1021.421529,101
100000,1995,Germany,269143,262,1027.263359,66
100000,2008,Denmark,73879977.3,70510,1047.794317,46
100000,2009,Netherlands,59984245,56583,1060.110722,118
100000,2010,Ireland,240179013,224047,1072.002807,86
100000,2006,Denmark,89780846.35,82995,1081.76211,46
100000,2009,Ireland,18701785,17185,1088.262147,86
100000,2008,Norway,29059497.19,26629,1091.272567,128
100000,2008,Ireland,202128760,185131,1091.814769,86
100000,2008,United Kingdom,5503.525281,5,1100.705056,183
100000,2007,France,855266,776,1102.146907,58
100000,2007,Denmark,9726632.651,8703,1117.618367,46
100000,2008,France,2060955,1818,1133.638614,58
100000,2007,Portugal,15137608,12634,1198.164319,141
100000,2010,Netherlands,2337668,1932,1209.973085,118
100000,2005,Bulgaria,4157777.643,3408,1220.005177,21
100000,2009,Denmark,23703157.07,19242,1231.84477,46
100000,2008,Latvia,70522.47191,57,1237.236349,98
100000,2009,Finland,586454,472,1242.487288,57
100000,2009,Netherlands,999328,791,1263.372946,118
100000,2010,United Kingdom,58616.35147,46,1274.26851,183
100000,2010,Finland,568280,432,1315.462963,57
100000,2007,United Kingdom,531154523,402647,1319.156787,183
100000,2007,United Kingdom,18840724.44,14273,1320.025533,183
100000,2009,Latvia,2431811.911,1812,1342.059553,98
100000,2008,Netherlands,1181264,868,1360.903226,118
100000,2007,Denmark,85887757.76,63106,1361.007793,46
100000,1998,Portugal,249175,178,1399.859551,141
100000,1999,Germany,2559906,1827,1401.152709,66
100000,2009,Greenland,2875440.962,2032,1415.079214,71
100000,2010,United Kingdom,531124844.4,374054,1419.91489,183
100000,2009,United Kingdom,501120706.2,351813,1424.39508,183
100000,2009,Germany,3095694,2165,1429.881755,66
100000,2006,Germany,32174,22,1462.454545,66
100000,2008,France,20048015,13623,1471.629964,58
100000,2007,Ireland,315098633,213835,1473.559675,86
100000,2010,France,1777219,1206,1473.647595,58
100000,2010,United Kingdom,9209515.441,6231,1478.015638,183
100000,2009,United Kingdom,8089275.76,5428,1490.286618,183
100000,2009,Denmark,46935153.35,31162,1506.166271,46
100000,2010,Portugal,237164959.9,156903.3,1511.535831,141
100000,2007,France,353291,232,1522.806034,58
100000,1998,Sweden,17491947.17,11376,1537.618422,169
100000,2010,United Kingdom,42233310.95,27400,1541.361713,183
100000,2007,Portugal,240776669,155705,1546.364401,141
100000,2009,France,18544688,11734,1580.423385,58
100000,2009,France,136933,86,1592.244186,58
100000,2007,Norway,13690284.47,8596,1592.634304,128
100000,2008,Portugal,256522067,161038,1592.928793,141
100000,2009,Portugal,223214819,138817,1607.978987,141
100000,2006,Slovenia,1514271,931,1626.499463,162
100000,1999,Portugal,1755309,1069,1642.01029,141
100000,2007,Poland,127706805.9,77528,1647.234623,140
100000,2009,Poland,125268204.4,75982,1648.656319,140
100000,2009,Spain,2438301,1473,1655.329939,165
100000,2008,Sweden,853802.5913,499,1711.027237,169
100000,2010,United Kingdom,28354941.31,16529,1715.46623,183
100000,2008,Denmark,212029634.8,123102,1722.389846,46
100000,2007,United Kingdom,26665444.44,15462,1724.579255,183
100000,2008,United Kingdom,637071310.4,369016,1726.405658,183
100000,2010,France,229924,133,1728.75188,58
100000,2009,United Kingdom,24890056.51,14293,1741.415834,183
100000,1997,Sweden,36655638.28,20801,1762.20558,169
100000,2008,France,85077,48,1772.4375,58
100000,2010,Belgium,2321871,1306,1777.849158,12
100000,2007,Germany,113194,63,1796.730159,66
100000,2008,United Kingdom,8128286.25,4495,1808.29505,183
100000,2010,Denmark,47543950.53,26269,1809.888101,46
100000,1998,Denmark,47441456.72,26002,1824.531064,46
100000,2005,Portugal,11088,6,1848,141
100000,2010,Poland,149402009.9,80748,1850.225515,140
100000,2010,Norway,42755695.46,23008,1858.296917,128
100000,2007,Germany,1481001,778,1903.600257,66
100000,2007,Netherlands,15261,8,1907.625,118
