"TaxonKey","Year","FishingEntityName","LandedValue","Landings","ObservedPrice","FishingEntityID","IP.2010"
601180,1980,"Brazil",NA,NA,8.21e-10,15,208.90587193462
601180,1981,"Brazil",NA,NA,1.52e-09,15,200.344008042472
690667,1980,"Brazil",NA,NA,2.24e-09,15,569.974607958037
400412,1980,"Brazil",NA,NA,2.38e-09,15,605.598020955414
100039,1980,"Brazil",NA,NA,2.75e-09,15,699.745612448483
690374,1980,"Brazil",NA,NA,2.78e-09,15,707.379200947921
690667,1981,"Brazil",NA,NA,3.24e-09,15,427.049069774743
300059,1980,"Brazil",NA,NA,3.27e-09,15,832.061146438741
502769,1980,"Brazil",NA,NA,3.5e-09,15,890.585324934432
500142,1980,"Brazil",NA,NA,3.74e-09,15,951.654032929936
400043,1980,"Brazil",NA,NA,3.86e-09,15,982.188386927688
400454,1980,"Brazil",NA,NA,4.08e-09,15,1038.16803592357
690374,1981,"Brazil",NA,NA,4.23e-09,15,557.536285539248
100064,1980,"Brazil",NA,NA,4.38e-09,15,1114.50392091795
500477,1980,"Brazil",NA,NA,4.65e-09,15,1183.20621741289
300059,1981,"Brazil",NA,NA,4.78e-09,15,630.029183186195
502769,1981,"Brazil",NA,NA,4.97e-09,15,655.072184191504
500915,1980,"Brazil",NA,NA,4.99e-09,15,1269.72022040652
400017,1980,"Brazil",NA,NA,5.37e-09,15,1366.4123413994
600465,1980,"Brazil",NA,NA,5.42e-09,15,1379.13498889846
502307,1982,"Brazil",NA,NA,5.6e-09,15,373.275131094409
400412,1982,"Brazil",NA,NA,5.75e-09,15,383.273572105866
601288,1980,"Brazil",NA,NA,6.21e-09,15,1580.15281938366
400043,1981,"Brazil",NA,NA,6.38e-09,15,840.917612704586
690667,1982,"Brazil",NA,NA,6.45e-09,15,429.932963492667
100064,1981,"Brazil",NA,NA,6.53e-09,15,860.688402971936
600967,1980,"Brazil",NA,NA,6.53e-09,15,1661.57776337767
500142,1981,"Brazil",NA,NA,6.61e-09,15,871.232824447855
600226,1980,"Brazil",NA,NA,6.63e-09,15,1687.0230583758
400314,1980,"Brazil",NA,NA,6.67e-09,15,1697.20117637505
300062,1980,"Brazil",NA,NA,6.69e-09,15,1702.29023537467
501164,1980,"Brazil",NA,NA,6.74e-09,15,1715.01288287374
690629,1980,"Brazil",NA,NA,7.04e-09,15,1791.34876786812
590062,1980,"Brazil",NA,NA,7.07e-09,15,1798.98235636755
690374,1982,"Brazil",NA,NA,7.17e-09,15,477.925480347662
600407,1980,"Brazil",NA,NA,7.23e-09,15,1839.69482836456
